日付,始値,高値,安値,終値,出来高,調整後終値,Unnamed: 7
2011年10月21日,8800,8820,8770,8800,69571,8800,nan
2011年10月24日,8880,8970,8880,8950,139783,8950,nan
2011年10月25日,8980,8990,8870,8890,1135751,8890,nan
2011年10月26日,8800,8920,8760,8850,531573,8850,nan
2011年10月27日,8890,9040,8850,9040,918885,9040,nan
2011年10月28日,9200,9210,9120,9140,1527879,9140,nan
2011年10月31日,9120,9270,9080,9080,1066749,9080,nan
2011年11月1日,9000,9060,8950,8970,738115,8970,nan
2011年11月2日,8830,8830,8760,8810,943444,8810,nan
2011年11月4日,8900,8930,8850,8920,342876,8920,nan
2011年11月7日,8890,8900,8860,8880,83634,8880,nan
2011年11月8日,8870,8880,8760,8770,326541,8770,nan
2011年11月9日,8830,8880,8800,8870,115829,8870,nan
2011年11月10日,8660,8690,8610,8630,712937,8630,nan
2011年11月11日,8650,8680,8610,8630,773159,8630,nan
2011年11月14日,8770,8780,8720,8740,236230,8740,nan
2011年11月15日,8660,8710,8650,8690,190043,8690,nan
2011年11月16日,8670,8690,8570,8580,380115,8580,nan
2011年11月17日,8550,8610,8520,8590,286035,8590,nan
2011年11月18日,8490,8520,8480,8520,401682,8520,nan
2011年11月21日,8480,8490,8460,8470,179549,8470,nan
2011年11月22日,8390,8470,8370,8450,292123,8450,nan
2011年11月24日,8300,8330,8270,8270,396677,8270,nan
2011年11月25日,8250,8310,8250,8280,364623,8280,nan
2011年11月28日,8390,8440,8370,8410,181802,8410,nan
